osm_id,latitude,longitude,name,shop_type,amenity,opening_hours
9462619437,-0.0514519,34.7919139,Kanyawina Tailoring,tailor,,Mo-Fr 09:00-18:00
9462619443,-0.1009976,34.7507304,Gulflab Chemical Co.Ltd,chemist,,Mo-Sa 08:00-18:00
9462619445,-0.0711639,34.8104714,Yvonne,tailor,,"Mo-Fr,Su 08:00-19:00"
9462619446,-0.0738764,34.6890141,Dala Dala Fashion And Designs,tailor,,Mo-Sa 08:00-17:00
9462619449,-0.1343333,34.742385,Mama Kyle Tailoring Shop,tailor,,Mo-Sa 08:00-18:00
9462619457,-0.1125444,34.7692525,Davi,tailor,,Mo-Su 09:00-18:00
9462619461,-0.0952496,34.7671143,Bb,chemist,,Mo-Fr 08:00-16:00
9462619462,-0.0595365,34.784416,Anyango's Tailoring Shop,tailor,,Mo-Sa 09:00-18:00
9462619464,-0.1010382,34.7679492,Kona Shop,chemist,,Mo-Sa 07:00-19:00
9462619467,-0.0352517,34.7931817,Daraja Mbili Tailoring,tailor,,"Mo-Fr,Su 08:00-18:00"
9462619469,-0.0907503,34.7812172,Grace Tailoring Shop,tailor,,Mo-Fr 09:00-18:30
9462619471,-0.0976891,34.7808113,Nyandhiwa Shop,tailor,,"Mo-Fr,Su 08:00-18:00"
9462619475,-0.1286789,34.7494805,Jacky Caps Interior Decor,tailor,,"Mo-Fr,Su"
9462619478,-0.0765165,34.7951823,Nyakwar Osuta Tailoring Shop,tailor,,Mo-Fr 08:00-19:00
9462619482,-0.1011387,34.7602737,Charles Tailoring Shop,tailor,,Mo-Sa 08:00-18:00
9462619484,-0.128293,34.747706,Sky Web Base Tailoring Workshops,tailor,,Mo-Sa
9462619486,-0.0829717,34.7723733,Lakeside Tailoring Centre,tailor,,Mo-Sa 08:00-17:00
9462619487,-0.0829795,34.7779881,David,chemist,,"Tu,Fr sunset-sunrise open"
9462619490,-0.1171292,34.788217,Mama Val Tailoring,tailor,,Mo-Sa 08:00-18:00
9462619492,-0.0622435,34.8159054,Kibos Sugar,chemist,,Mo-Su sunset-sunrise open
